EquationId,NodeId,VariableName,IsFixed,Value,coordx,coordy,coordz
0,1,DISPLACEMENT_X,0,8.64934001812508e-09,,8.64934001812508e-09,2.77455423006229e-08,0
1,1,DISPLACEMENT_Y,0,2.77455423006229e-08,,8.64934001812508e-09,2.77455423006229e-08,0
2,1,DISPLACEMENT_Z,0,0,,8.64934001812508e-09,2.77455423006229e-08,0
3,2,DISPLACEMENT_X,0,1.78690439392062e-08,,1.78690439392062e-08,0.249999954461022,0
4,2,DISPLACEMENT_Y,0,-4.55389778092337e-08,,1.78690439392062e-08,0.249999954461022,0
5,2,DISPLACEMENT_Z,0,0,,1.78690439392062e-08,0.249999954461022,0
6,3,DISPLACEMENT_X,0,-2.60548534343963e-08,,-2.60548534343963e-08,0.75000003537885,0
7,3,DISPLACEMENT_Y,0,3.53788497371286e-08,,-2.60548534343963e-08,0.75000003537885,0
8,3,DISPLACEMENT_Z,0,0,,-2.60548534343963e-08,0.75000003537885,0
9,4,DISPLACEMENT_X,0,8.41726445635062e-09,,8.41726445635062e-09,0.999999992574716,0
10,4,DISPLACEMENT_Y,0,-7.42528366099199e-09,,8.41726445635062e-09,0.999999992574716,0
11,4,DISPLACEMENT_Z,0,0,,8.41726445635062e-09,0.999999992574716,0
12,5,DISPLACEMENT_X,0,0.07744610813709,,0.57744610813709,-0.0303853512147703,0
13,5,DISPLACEMENT_Y,0,-0.0303853512147703,,0.57744610813709,-0.0303853512147703,0
14,5,DISPLACEMENT_Z,0,0,,0.57744610813709,-0.0303853512147703,0
15,6,DISPLACEMENT_X,0,0.0437023458022853,,0.606202345802285,0.290735238303663,0
16,6,DISPLACEMENT_Y,0,0.040735238303663,,0.606202345802285,0.290735238303663,0
17,6,DISPLACEMENT_Z,0,0,,0.606202345802285,0.290735238303663,0
18,7,DISPLACEMENT_X,0,-0.0509085619129288,,0.636591438087071,0.632359060675424,0
19,7,DISPLACEMENT_Y,0,-0.117640939324576,,0.636591438087071,0.632359060675424,0
20,7,DISPLACEMENT_Z,0,0,,0.636591438087071,0.632359060675424,0
21,8,DISPLACEMENT_X,0,-0.0825986536977959,,0.667401346302204,0.906709721699894,0
22,8,DISPLACEMENT_Y,0,-0.0932902783001056,,0.667401346302204,0.906709721699894,0
23,8,DISPLACEMENT_Z,0,0,,0.667401346302204,0.906709721699894,0
24,9,DISPLACEMENT_X,0,0.208003428816365,,1.70800342881637,0.33902082790633,0
25,9,DISPLACEMENT_Y,0,0.33902082790633,,1.70800342881637,0.33902082790633,0
26,9,DISPLACEMENT_Z,0,0,,1.70800342881637,0.33902082790633,0
27,10,DISPLACEMENT_X,0,0.163297425105902,,1.8507974251059,0.49753505180834,0
28,10,DISPLACEMENT_Y,0,0.24753505180834,,1.8507974251059,0.49753505180834,0
29,10,DISPLACEMENT_Z,0,0,,1.8507974251059,0.49753505180834,0
30,11,DISPLACEMENT_X,0,-0.116960789380807,,1.94553921061919,1.49044244081782,0
31,11,DISPLACEMENT_Y,0,0.740442440817823,,1.94553921061919,1.49044244081782,0
32,11,DISPLACEMENT_Z,0,0,,1.94553921061919,1.49044244081782,0
33,12,DISPLACEMENT_X,0,-0.42280733347826,,1.82719266652174,1.85568553842243,0
34,12,DISPLACEMENT_Y,0,0.855685538422425,,1.82719266652174,1.85568553842243,0
35,12,DISPLACEMENT_Z,0,0,,1.82719266652174,1.85568553842243,0
36,13,DISPLACEMENT_X,0,0.300383024190903,,2.3003830241909,0.371382868255279,0
37,13,DISPLACEMENT_Y,0,0.371382868255279,,2.3003830241909,0.371382868255279,0
38,13,DISPLACEMENT_Z,0,0,,2.3003830241909,0.371382868255279,0
39,14,DISPLACEMENT_X,0,0.174121949841756,,2.42412194984176,1.20567254535695,0
40,14,DISPLACEMENT_Y,0,0.955672545356946,,2.42412194984176,1.20567254535695,0
41,14,DISPLACEMENT_Z,0,0,,2.42412194984176,1.20567254535695,0
42,15,DISPLACEMENT_X,0,-0.42270548641336,,2.32729451358664,1.79986890277444,0
43,15,DISPLACEMENT_Y,0,1.04986890277444,,2.32729451358664,1.79986890277444,0
44,15,DISPLACEMENT_Z,0,0,,2.32729451358664,1.79986890277444,0
45,16,DISPLACEMENT_X,0,-0.538288216699581,,2.46171178330042,2.10478610896042,0
46,16,DISPLACEMENT_Y,0,1.10478610896042,,2.46171178330042,2.10478610896042,0
47,16,DISPLACEMENT_Z,0,0,,2.46171178330042,2.10478610896042,0
